cid,descrption
COMP4023,"This course introduces the fundamental
concepts and techniques in computer and network security. Topics
include basic encryption techniques, cryptographic algorithms,
authentication and digital signature, public key infrastructure,
access control, security models, as well as their applications to, for
example, IP security, Web security, and trusted operating systems.
In addition, it discusses other system and programming related
security issues, including non-malicious errors, computer viruses,
and intrusion detection."
COMP4043,"This course provides an overview of the
concepts and techniques in knowledge discovery and data mining.
The students are expected to have some ideas about some basic
knowledge discovery and data mining techniques, including
classification, clustering, data association and data warehouse."
COMP4053,"This course provides students with an
in-depth knowledge of relational database management systems
(DBMS). Topics include data storage, index structures, query
evaluation, transaction processing, concurrency control, and crash
recovery. In addition, advanced topics such as distributed databases
and data warehouses will also be covered."
COMP4063,"This course introduces the basic properties of
different types of digital media in the multimedia systems, namely
audio, image, and video. As data compression is the most important
enabling technology, making modern multimedia systems possible,
data compression algorithms and the international standards of these
digital media will be discussed."
COMP4073,"This course introduces the needs, key
concepts, and techniques underlying the design and engineering of
distributed computing systems. The discussions will focus on
communications, synchronisation and concurrency control, process
management, distributed file services, and case studies. Also
included will be an introduction to clustering computing and
parallel algorithms."
COMP4083,"This course develops students’ knowledge in
emerging e-technologies, including related architectures, tools, and
applications. In particular, it introduces the Web from three
different aspects: (1) Web as distributed databases; (2) Web as
distributed computing platforms; and (3) Web as social networks. It
discusses the use of e-technologies in different application domains,
including e-business, e-learning, etc."
COMP4093,"Students will learn the principles of the
Internet and the World Wide Web, and study some applications and
current topics"
COMP4103,"This course presents the principles and
fundamental techniques of artificial intelligence, particularly in the
field of machine learning. Students not only learn the fundamentals
and state-of-the-art techniques, but also acquire some practical
insights into the current development of this field"
COMP4143,"This course introduces the fundamental
concepts and practical applications of contemporary Artificial
Intelligence (e.g., incorporating knowledge discovery and data
mining, intelligent agents, and social network intelligence) and
advanced Information Technology (e.g., involving wireless
networks, ubiquitous devices, social networks, and data/knowledge
grids) in the context of Web-empowered systems, environments,
and activities. In addition, it discusses the techniques and issues
central to the development of Web Intelligence (WI) computing
systems."
COMP4033,"This course introduces graphics hardware
architectures and systems, 2D geometric primitives, geometric
Transformations, 3D graphics, 3D object representations, rendering
and implementation algorithms, curves and surfaces, animation, etc."
COMP4113,"This course covers basic concepts in
computer vision and pattern recognition. Topics include image
sensing and camera perception, 2D image analysis such as filters,
edge detection and Hough transform, pattern classification,
physics-based vision, stereo and motion, and solid model
recognition. It concludes with current trends and challenges in
computer vision and pattern recognition."
COMP3073,"This course aims to introduce students to the
concepts involved with autonomous robotic systems. The objective
of this course is to use a hands-on approach to introduce the basic
concepts in robotics, focusing on mobile robots"
COMP3103,"This course introduces popular design
patterns that can be used in software development."
COMP3123,"This course teaches students different kinds of
testing strategies and how to develop or evaluate tools to automate
software testing."
COMP3163,"This course is designed to introduce and
familiarise participants with programming in the Android
environment. Students will learn skills for creating and deploying
Android applications, with particular emphasis on software
engineering topics including software architecture, software process,
usability, and deployment. Hands on experience in the form of
exercises are included throughout the course to reinforce material
that has been presented in lecture form."
COMP3183,"This course aims to introduce students to the
principles of computational finance and financial data analysis. The
objective of this course is to explore various relations between
computer science and finance"
COMP4005,"Students will undertake an individual project
under the supervision of a faculty member and gain the practical
experience of applying computer systems principles and techniques
acquired from the course to the solution of real-life problems. The
project demands careful planning and creative application of
underlying theories and enabling technologies. A thesis and an oral
presentation are required upon successful completion of the project.
This course is open to Computer Science majors only"
COMP4133,"This course introduces the concepts and
methods of system analysis and design to students with little or no
experience. It provides understanding of the entire process of
information system design. Topics include business event analysis,
use cases, system sequence diagrams, domain modelling and the
latest systems development methods, tools and techniques."
MATH1083,"This course is a continuation of Calculus I. It
provides a solid foundation in multivariable calculus to prepare
students for more advanced mathematics and statistical subjects."
DS2003,"This course provides data representation in a
database and practices data management given a real application.
Topics include: ER model, relational algebra, SQL, advance SQL,
relational database design, XML database model."
DS2013,"This workshop aims to lead students to learn
independent design, research, and coding on database development.
It will help students understand the concept of applying database to
solve problems. By building web applications in groups, students
will learn how to cooperate with team members, how to document,
design, develop, and test web applications, and practice cutting edge
software development technologies."
DS3003,"This workshop aims to help students have
some practices in working on big data processing. The course will
also give a brief introduction of Hadoop platform and how to use
Hadoop to do big data analytics. The students are expected to have a
clear understanding of Hadoop and its application after this course."
DS3013,"This workshop aims at machine learning with
big data. In particular, different machine learning techniques in big
data scenario are investigated."
DS4003,"This course introduces fundamental theory of
optimization methods and algorithms developed for solving various
types of optimization problems. It will develop and promote
research interest in applying the mathematical results and numerical
techniques of optimization theory to real life problems"
DS4013,"This course introduces latest development of
knowledge discovery and data mining concepts and emphasizes on
data mining techniques, including data pre-processing, classification,
clustering, data association and data warehouse. It can motivate
students to analyse big data with modern software."
DS4023,"The course will provide an introduction to
Machine Learning and its core models and algorithms. The aim of
the course is to give the student the basic ideas and intuition behind
modern machine learning methods as well as a bit more formal
understanding of how, why, and when they work."
DS4004,"This course will enable students to
demonstrate an integrated understanding of Data Science principles
and techniques and gain practical experience of developing and
applying enabling technologies. Students will undertake an
individual project under the supervision of a faculty member and
gain the practical experience of applying computer systems
principles and techniques acquired from the course to the solution
of real-life problems. The project demands careful planning and
creative application of underlying theories and enabling
technologies. A thesis and an oral presentation are required upon
successful completion of the project."
STAT2003,"This course introduces the basic probability
theory and theoretical statistics (probability distributions, estimation
and hypothesis test criteria, etc.) so that the students can understand
the foundations of general statistical practices and are also well
prepared for the advanced subjects like regression analysis,
multivariate analysis, and time series forecasting."
STAT2013,"This course introduces the theory of
regression analysis and techniques in data analysis. It will
emphasise on recent developments in the regression analysis such as
statistical diagnostics and nonlinear regression; and to motivate
students to analyse multivariate data with the help of statistical
packages such as MATLAB, R or SPSS."
COMP4123,"This course introduces the basic principles of
information retrieval and search engines. Advanced models and
techniques in information processing and retrieval will be covered."
DS4033,"This course introduces the basic concepts,
principles, and major techniques in text mining. It apprehends the
value of text mining in a broad spectrum of areas, including
business intelligence, information acquisition, social behaviour
analysis and decision making. It will enable students to discover
interesting patterns, extract useful knowledge, and support decision
making, with statistical approaches applied to text data."
DS4043,"The course is an introduction to statistical
computing taught using R. The aim of this course is to expand
students’ statistical toolbox through numerical and simulation
methods. Additionally, the course will teach students how to
approach statistical problems from a computational perspective. Let
students become proficient in everyday computational tasks with
datasets of all kinds, skilled in applications of elementary statistical
methods, with an emphasis on data exploration and simple graphics."
DS4053,"The course is designed to introduce the most
important and basic concepts, methods, and tools used in
Bioinformatics which includes an introduction to Bioinformatics,
experience with select bioinformatics tools and databases currently
utilized in the life sciences."
DS4005,"Students will undertake an individual project
under the supervision of a faculty member and gain the practical
experience of applying computer systems principles and techniques
acquired from the course to the solution of real-life problems. The
project demands careful planning and creative application of
underlying theories and enabling technologies. A thesis and an oral
presentation are required upon successful completion of the project.
This course is the extension of the course COMP3100-Final year
project I. Only those students who are competent in the FYP I will
be eligible to take this course."
STAT3003,"Sample survey is a popular means for gauging
opinions and views of a target population. It is widely used in many
areas including behavioural sciences, biomedical sciences, social
research, marketing research, financial and business services, public
opinions on government policies, etc. However, improperly
conducted surveys or inappropriate analyses of the results could
lead to seriously wrong conclusions. This course equips students
with a sound understanding of survey operations, sampling methods,
questionnaire design and analysis of results."
GCNU1003,"This course provides students with an
understanding of fundamental statistical techniques commonly used
in social science, business, and science today. The emphasis is on
statistical thinking, concepts and data analysis. Students are required
to solve a variety of problems using statistical packages."
STAT3033,"This course will present the relevant theory,
methodology and computational techniques of modern Bayesian
inference and modelling. The main emphasis of the course will be
on how to use the Bayesian thinking, modelling and computation to
analyse data with complex structure."
STAT4013,"This course provides an understanding of
classical multivariate analysis and modern techniques in data
mining which are useful for analysing both designed experiments
and observational studies. Real data in social, life, and natural
sciences are analysed using statistical packages such as R or Matlab."
STAT4043,"To equip students with statistical methods for
analysing categorical data arisen from qualitative response variables
which cannot be handled by methods dealing with quantitative
response, such as regression and ANOVA. Some computing
software, such as SAS, S-PLUS, R or MATLAB, will be used to
implement the methods. The learning outcome will be the ability to
formulate suitable statistical models for qualitative response
variables and to analyse such data with computer software."
STAT4063,"This course provides students with
sophisticated statistical techniques and models for analysing time
series data. Using statistical packages, such as R and Matlab, as
computational aid, students will learn to use the models for analysis
and forecasting where the distributions of arrival-times and
withdrawal-times are unknown and not parametrically modelled.
This statistical topic has achieved great prominence in the
theoretical statistical literature because it is a particularly good
arena for the introduction of techniques of estimating and testing
finite-dimensional parameter values – such as a
treatment-effectiveness parameter in clinical studies – in the
presence of infinite-dimensional unknown parameters. Such
problems are referred to as semi-parametric."
MATH1053,"This course introduces the basic techniques in
matrix algebra, which is the foundation for more advanced
mathematics and statistics subjects. Major emphasis will be on the
system of linear equations, linearly independence in finite
dimensional vector spaces."
MATH1063,"This course introduces the basic techniques in
matrix algebra, which is the foundation for more advanced
mathematics and statistics subjects. Major emphasis will be on the
system of linear equations, linearly independence, and eigenvalue
problems in finite dimensional vector spaces. Basic ideas and
techniques on calculus will be introduced."
OR3013,"To introduce fundamental theory, techniques
and algorithms for linear programming and integer programming
problems. It addresses both the basic as well as advanced topics in
linear programming and integer programming. Several software
packages will be also introduced."
OR3023,"To introduce the basic computer simulation in
various discrete systems. The aim is to model and simulate various
practical systems in financial, transportation, and commercial
applications. This course covers the basic concepts, models and
computer software in simulating practical discrete systems."
OR4023,"This course introduces the fundamental theory
and techniques for both unconstrained and constrained optimization.
There will be an overview of the existing numerical software
packages. Finally some interdisciplinary techniques and
applications related to optimization will be discussed."
STAT2043,"This course introduces a methodical approach
to programme development, starting from problem formulation and
specification, through design of the solution, implementation, and
documentation, to evaluation of the solution. The subject matter is
taught through a high-level structured programming language. At
present, C and MATLAB are used."
STAT4004,"Students will undertake an individual project
under the supervision of a faculty member and gain the practical
experience of applying statistics and mathematics principles and
techniques acquired from the course to the solution of real-life
problems. The project demands careful planning and creative
application of underlying theories and enabling technologies. A
thesis and an oral presentation are required upon successful
completion of the project. This course is open to Statistics majors
only."
MATH2013,"To introduce (1) the practical and theoretical
concepts involved in computing interest; (2) sufficient knowledge to
handle all normal interest computations including bonds and
mortgages and; (3) the common practical methods of computing
approximate interest rates for commercial transactions."
MATH4003,"This course covers some fundamental
concepts and principles of graph theory. Practical topics include the
Chinese postman problem, the travelling salesman problem and the
map colouring problems. Applications of the theory and some
related algorithms are also discussed."
MATH4013,"This course provides an introduction to
measure theory, Lebesgue integration, LP
space, and Fourier
analysis. Equipped with this knowledge, students are prepared for
further studies in numerical analysis, functional analysis and
advanced probability theory."
MATH4023,"This course introduces differential equations
and covers methods for solving these equations. The modelling of
diverse phenomena by differential equations is demonstrated by a
variety of examples."
MATH4033,"To introduce computational methods for
problems in finance, including the computation of market indicators
and option prices. The market indicators include stock and option
indices. The option prices are based on the Black-Scholes model.
Finite difference methods, Monte Carlo Methods and Binomial Tree
Methods will be introduced."
MATH4043,"This course introduces the mathematics of life
contingencies. Areas to be studied include survival distributions and
construction of life tables; and the calculation of values of life
insurance, of life annuities and of benefit premiums."
MATH4053,"This course teaches the ideas underlying
commonly used numerical methods. It highlights important
considerations in coding algorithms so that they are efficient and
reliable. It teaches students how to choose an appropriate numerical
method for a particular problem and to interpret the resulting output"
MATH4063,"This course teaches students how
mathematics interfaces with other disciplines. Real-life problems
are solved using models in statistics, mathematics, and physics. The
case studies and problem-based approaches are adopted.
Programming abilities are very crucial to this course."
OR3003,"To provide an understanding of major areas in
Logistics as well as to illustrate how to apply various skills and
techniques in Logistics to solve and analyse various real problems.
The emphasis will be on learning various models and techniques in
Logistics. Many practical application models will be discussed and
analysed."
OR4003,"This is a continuation of OR3013 Linear
Programming and Integer Programming. The course will introduce
the basic and useful techniques in dynamic programming and
inventory control. The course will be taught in a problem solving
approach."
OR4013,"This is a continuation of OR3013 Linear
Programming and Integer Programming, and OR4003 Dynamic
Programming and Inventory Control. Some advanced topics will be
introduced to those students who are interested in mathematical
models arising from industrial and commercial applications."
OR4033,"This is a continuation of OR3013 Linear
Programming and Integer Programming. Some basic topics related
to networks will be introduced in this course. This course will be
taught in a practical-oriented approach."
STAT3013,"This course is a continuation of “Introduction
to Actuarial Mathematics”. Mathematics of life contingencies as
applied to insurance models including expenses, non-forfeiture
benefits, dividends, and valuation theory for pension plans will be
discussed."
STAT3023,"In this information age much data are
collected, but less often analysed. This course covers methods for
gleaning useful information for large data sets. These methods may
be used to help improve product marketing, increase operational
efficiency and discover new knowledge."
STAT3043,"The course covers computer programming
and data analysis in R. The emphasis of the course will be on
statistics analysis based on R language. This involves: (1)
exploratory data analysis; (2) specification of models to explain the
data; (3) estimation and evaluation of models; (4) forecasting from
the model."
STAT4003,"This course stresses the theory and
applications of experimental designs. Various kinds of experimental
designs such as factorial design, uniform design and design of
computer experiments will be introduced. Statistical analysis and
model identification are taught by using a number of real-life
examples."
STAT4005,"Students will undertake an individual project
under the supervision of a faculty member and gain the practical
experience of applying statistics and mathematics principles and
techniques acquired from the course to the solution of real-life
problems. The project demands careful planning and creative
application of underlying theories and enabling technologies. A
thesis and an oral presentation are required upon successful
completion of the project. This course is open to Statistics majors
only."
STAT4023,"This course covers basic probability,
generating functions, theory of recurrent events, Markov chains and
Markov processes. It develops and analyses models for fixed time
intervals; covers models for claim severities, models for claim
frequencies, aggregate claims models and ruin theory. This course is
of interest to advance actuarial science students and statistics
students."
STAT4033,"This course describes the logic underlying
structural equation modelling (SEM) approach, also known as
covariance structure analysis, and how SEM approaches relate to
techniques like regression, path analysis, and factor analysis. We
will analyse the strengths and shortcomings of SEM as compared to
alternative methodologies, and explore the various methodologies
for analysing structural equation data."
STAT4053,"This course first presents parameterisations of
survival distributions, in terms of hazard intensities, which lend
themselves to the formulation of parametric models, including
regression-type models which relate failure-time distributions to
auxiliary biomedical predictors. The special features of truncation
or censoring present unique challenges in the formulation of
likelihoods and efficient estimation and testing in settings."
STAT4073,"In this information age much data are
collected, but less often analysed. This course covers methods for
gleaning useful information for large data sets. These methods may
be used to help improve product marketing, increase operational
efficiency and discover new knowledge."
STAT4093,"This course reviews basic probability theory
and deals with major stochastic processes including Poisson
processes, renewal theory, Markov Chains and continuous-time
Markov Chains. Applications to inventory problems, equipment
replacement policy and queuing theory are also dealt with through
some examples"
STAT4103,"This course will expose students in upper
undergraduate level to deep learning, a key discipline in artificial
intelligence, with its core models and algorithms. Tools and
applications using these algorithms are introduced to give the
students an idea and experience of how they are implemented in
Python, the most popular computer language widely used in
data-mining, machine learning and artificial intelligence
communities. The aim of the course is to reinforce students the
basic concepts and intuition behind modern machine learning
methodologies as well as a bit more formal understanding of how,
why, and when they can be enabled in applications related to pattern
recognition and decision making."
COMP3153,"This course introduces object-oriented
programming concepts, principles, and techniques using the C++
programming language. Students will learn how to create C++
programmes using control statements, functions, structures, memory
management, pointers, classes, inheritance, and polymorphism.
Students will also learn how to use tools to edit, compile, debug,
and test C++ programmes."
COMP3143,"This course aims to develop the students’
knowledge in data structures and the associated algorithms; to
introduce the concepts and techniques of structuring and operating
on Abstract Data Types in problem solving; to discuss common
sorting, searching and graph algorithms, and to study the
complexity and comparisons among these various techniques."
ECON2053,"This course aims to introduce students to the
principles of economics. It intends to equip learners, through
various teaching and learning activities and assessment methods,
with skills and knowledge to apply economic principles in
contemporary economic issues. This course is also to familiarise
students with the main ideas of current economists’ debate and the
functioning of modern macroeconomics. In order to achieve these
aims we will study the behaviours of several key variables in
macroeconomics: output, unemployment, inflation, consumption
and investment. The main topics to cover throughout the course will
include the aggregate demand-aggregate supply model, some notion
of economic growth and the impact of the different policies that
governments can put into motion to accommodate the economy to
different shocks, and the suitability of the policies."
FINM2013,"Due to growing importance and relevance of
applied time series econometrics in finance and other related fields,
the course is designed to help the students to understand the
concepts, methods, applications and usefulness of time series
analysis to various problems relating to finance. Practical examples
from the industry and economy are the hall mark of the course
combined with laboratory experiments with the latest software
applications. For practical purposes, the course is extremely useful
for management professionals working in different sectors and in
various positions of decisions making. Upon completing this course,
students should be able to master traditional methods of Time Series
analysis, intended mainly for working with time series data."
FINM3003,"This course aims to provide students with
recent developments in mathematical control theory and its
applications to finance, such as application of stochastic control
theory in financial economics. In particular, the course addresses a
large spectrum of problems and techniques. The objective is to
enable student to understand how control theory provides a large set
of theoretical and computational tools with applications in finance.
Other branches of control theory are found to have comparatively
less applications to financial problems and the exchange of ideas
and methods have intensified in recent years. This course
establishes bridges between these separate fields."
FINM3033,"The aims of the course is to deal with the
ways in which financial institutions quantify and manage different
risks such as market risk, credit risk, and operational risk, to help
students pay special attention to the credit derivatives market and
understand current financial crisis by covering various smaller case
studies."
FINM3093,"This course aims at developing key concepts
in investment theories from the perspective of a portfolio manager
rather than an individual investor. The goal of this class is to
provide students with a structure for thinking about investment
theories and show them how to address investment problems in a
systematic manner. It focuses on applications of financial theories
to investments. Topics include portfolio optimisation and asset
pricing theories, as well as their applications to problems in
contemporary financial practice. The course also explores the
application of various financial instruments in investment
management and introduces the basic techniques of portfolio
performance evaluation"
FINM4003,"This course aims to provide students with an
understanding of basic results in martingale theory, familiarise them
with the different martingales in different financial markets, so that
they will know how to apply various martingales to price
derivatives such as options."
FINM4004,"The aim of the final-year project is to enable
students to go through an independent learning experience, giving
them a chance to develop skills, including the use of online and
offline materials, the logical development of scientific arguments,
thesis writing skills, presentation techniques and time management.
Students need to demonstrate an integrated understanding of finance
and mathematics through solving real-life problems."
FINM4033,"This course aims to help students learn the
essential knowledge of using Excel spreadsheet functions and some
software as decision-making tools for formulating suitable solutions
to solve real-world financial and economic problems in the financial
industry, and gain hands-on experience and professional skills of
using Excel worksheet functions, pivot table, charts and VBA
macros (Visual Basic Applications) for the practical implementation
of financial models. It covers standard financial models in the areas
of corporate finance, financial statement simulation, portfolio
problems, option, portfolio insurance, duration, and immunisation."
MATH2023,"This course introduces various forms of
ordinary differential equations and their solution methods using
both analytical and numerical techniques. It also provides students
with Fourier series and its applications, and various forms of partial
differential equations and their solutions, methods using both
analytical and numerical techniques."
MATH2033,"Randomness plays a crucial role in various
models in financial mathematics. To handle the random elements in
these models, statistics comes into play. For financial mathematics
practitioners, a good understanding of the mathematics behind
statistics is important. This course aims at introducing to students
statistics from the mathematical point of view. The topics covered
will find applications in other disciplines."
STAT2023,"The course introduces basic concepts and
techniques of measuring theoretic probability, familiarise students
with random variable and various probability distributions from the
perspective of measuring theoretic probability theory, and introduce
some basic stochastic processes, martingales and their applications"
MATH3003,"This course provides students with basic
stochastic processes such as discrete-time and continuous-time
Markov chains and semi-martingales including Brownian motion,
Poisson process and Levy process. The course introduces Ito’s
formulas, martingale theory and its applications ， stochastic
differential equations, and stochastic integral with respect to
semi-martingales, and helps students know how to apply stochastic
processes in option pricing."
BUS2023,"This course aims to provide the students with
a solid understanding and application of marketing strategy and
management. It includes how to formulating a marketing strategy,
the development of strategic opportunities through internal and
external analysis, the development of competitive advantages
through distinctive competencies, and the maintenance of these
advantages over time through application techniques like brand
development."
BUS3033,"The objective of this course is to teach
students the current situation and roadmap of China’s capital market,
especially the logic behind it. Through this course, students will
gain a better understanding of the features of China’s capital market
in the era of globalisation and its relationships with the global
financial markets, and the capability to relate China’s capital market
with economic knowledge."
BUS4053,"This course aims to prepare the student for a
successful business career with a broad understanding of the
importance and complexity of strategic decisions and the need to
integrate other aspects of business operations in the decisions,
which determine the future direction and effectiveness of an
organisation. As the course focuses on the skills required of a
general manger in diagnosing and finding solutions for critical
problems in complex business situations. Discussions will
emphasise the organisation as a whole. To achieve this goal,
integration of the knowledge gained in previous courses and an
awareness of the impact of the external forces, and of actions by the
firm and its rivals on the firm's strategies are crucial."
ECON3093,"This course aims to provide an up-to-date
analytical framework for illustrating current events of international
trade and finance and bringing the web excitement of international
economics into the classroom. The first half of the course will be
devoted to understand the classical as well as modern theories of
international trade, trade policy and international economic
integration. The second half will focus on international finance and
macroeconomics of open economy, understanding the difference
between fixed and flexible exchange rate systems, balance of
payments and international monetary problems."
ECON3133,"This course aims to give students a basic
understanding of econometrics and regression analysis. Numerous
examples will be examined in order to achieve this goal. Emphasis
will be placed on the classical linear regression model, least squares
estimation, hypothesis testing, and model building, and application
to practical economic problems on forecasting and analysis. In
addition, this course will train students to use computer statistical
software."
FIN3063,"This course is designed to provide students
with a comprehensive understanding of the principles and practices
of corporate finance. It aims to enable students to apply financial
principles and theories to the understanding of issues and solving
problems in real-world settings independently; and to enable
students to understand the financial decision-making practice of
corporations under different circumstances and to learn the
advanced techniques required for the financial managers."
FINM2003,"The path-breaking advances in finance theory
and practice over the past several decades have profoundly changed
the financial world. These changes are further accelerated by the
extensive globalisation of financial markets and the rapid
development in financial technologies in recent years. This course
provides an introduction to modern finance theory and its
applications within a unified framework."
FINM2023,"To provide an understanding of the modern
regression analysis and techniques which are useful in data analysis.
Regression analysis is one of the most useful statistical techniques.
There have been great developments in the past decades such as
statistical diagnostics, nonlinear regression, robust regression,
nonparametric regression etc. With the help of statistical packages
such as MATLAB or R, students can analyse multivariate data by
modern regression techniques without any difficulty."
FINM2033,"This course introduces the concepts,
principles and techniques of python programming languages and its
potential application to finance industry. Students will learn how to
write Python programs using control statements, functions, classes,
modules. After learning this course, students will know how to edit,
debug, run Python programs, which is the fundamental skills for
data analytics, algorithm trading, and quantitative finance."
FINM3013,"This course aims to give an introduction to
students on futures, options and other derivative contracts. Class
lectures will be focused on the theoretical aspects of these topics
and students could gain understanding of some practical issues
relating to these contracts for the market through tutorials and a
term project. Tutorials will highlight and examine the application of
the knowledge learnt from the lectures."
FINM3023,"The aim of this course is to provide students
with an introduction to the techniques of valuation of fixed income
securities and their derivatives as well as management of fixed
income investment portfolios. This course focuses on analytic tools
used in bond portfolio management and interest rate risk
management. These tools include yield curve construction, duration
and convexity, and formal term structure models. The course covers
the valuation of a wide variety of fixed income securities and
derivatives including pure discount bonds, coupon bonds, forwards
and options on fixed income securities, interest-rate swaps,
floating-rate notes, and mortgages. It also develops tools for valuing
and modelling the risk exposures of fixed income securities and
their derivatives, with the ultimate goal of deploying these
instruments in a corporate or financial risk management setting."
