course_code	course_description
AIM3113	This course aims to equip students with the principles and skills needed to develop engaging characters to drive animation story with dramatic and emotional impact. The course will focus on the biped character creation process and the application of storyboarding principles in the form of animatic to reflect the complexity of characters personalities in animation. Students will learn the visual aspects of character design covering facial features, body proportion, anatomical structure, posing, and custom styles and evolve the creative decisions based on the research and development of the characters profiles and personalities. In addition to the conceptual and visual development, students will model, rig and texture the characters to produce an animatic with the applications of storyboarding principles. By the end of the course, students will be able to develop original characters and present their stories vividly in the form of animated storyboard.
AIM4033	The final year project is formed in three directions Dissertation; Animation Project; and Interactive Media Project. For the stage of Final Year Project I, all students are required to select their projects and for assignment of supervisors. In the case of dissertation, student will be required to develop a research proposal outline, which is to demonstrate the research question(s) and approach to completing the dissertation. In the case of animation and interactive media project, student will undertake an individual project to develop and produce either an animation or an interactive media project. All students will be expected to complete 50% of the total work of the final year project.
BA3023	This course aims to provide an introduction to the interdisciplinary fields of data science, finance and digital economy. The content of this course aims at helping students to apply the knowledge and techniques of data analysis and machine learning to deal with the issues in capital markets. Also they will understand the new development in data science such as distributed and secure multi-party computation. The students will learn some of the digital economy's leading data models, such as searching engine, reputation, prediction, and recommender.
BA4043	The course offers an overview of how marketing has (and has not) changed with the rapid rise of the Internet and social media. It will equip students with the relevant knowledge, perspectives, and practical skills required to develop marketing strategies that leverage the opportunities inherent in the Internet and social media. The course aims to provide students with an understanding of social media and digital marketing concepts and analytical processes. The focus is to foster and sustain students skills as professional digital marketing analysts and problem solvers to plan and implement a successful digital marketing strategy.
ACCT2033	The objective of this course is to provide students with a general understanding of basic accounting concepts, accounting cycle (bookkeeping), principles and their applications in some elementary financial accounting topics including cash; current assets and current liabilities; inventory, non-current assets and non-current liabilities; cash flow statement and analysis of financial statements.
ACCT2043	(For non-ACCT students.) The objective of this course is to provide students with a general understanding of basic accounting concepts, accounting cycle (bookkeeping), principles and their applications in some elementary financial accounting topics including cash; current assets and current liabilities; inventory and non-current assets.
ACCT2063	The main objective of this course is to provide students with a general understanding of the basic accounting concepts, principles, and their applications in some fundamental financial and managerial accounting topics, including the recording of economic events under the accrual method of accounting; the practical performance of the accounting cycle; the compilation, analysis, and communication of financial statements; cost-volume-profit analysis; the budgeting process; as well as the impact of current ethical standards and disclosure requirements relating to financial reporting.
AI3153	In this course, students are introduced to the fundamental theories and concepts of human-computer interaction (HCI). Students will gain theoretical knowledge of and practical experience in the fundamental aspects of human perception, cognition, and learning as relates to the design, implementation, and evaluation of interfaces. In addition to lectures, students will work on individual and team assignments to design, implement, and evaluate various interactive systems and user interfaces based on knowledge culled from class material and additional research.
AI4005	This course aims to enable students to demonstrate an integrated understanding of AI algorithms systems principles and techniques through solving real-life problems; gain practical experience of developing and applying enabling technologies, and acquire independent problem solving skills as well as oral and written communication skills.
AI4023	The course will provide an introduction to reinforcement learning and its core models and algorithms. Reinforcement learning is a computational approach to learning whereby an agent tries to maximize the total amount of reward it receives while interacting with a complex and uncertain environment. The aim of the course is to give the student the basic ideas and intuition behind modern reinforcement learning methods as well as a bit more formal understanding of how, why, and when they work. Recent progress for deep reinforcement learning and its applications will be discussed.
AI4033	This course teaches students the concept and theories of Large-Scale Multi-Agent Systems (LSMAS); the core technologies for the support of LSMAS; the state-of-art LSMAS applications; and the design and development of LSMAS with the adoption of Java Agent Development Environment (JADE) / JaCaMo.
AI4063	This course aims to equip students with knowledge and skills to design machines or classifiers than can extract features and recognize patterns - understanding the basic science, arts, algorithms, and technologies of pattern recognition. The course focuses on mapping various real world problems into pattern recognition frameworks, studying statistical pattern recognition approaches, and experimenting with real world problems to appreciate the methodologies of pattern analytics.
AI4083	This course will introduce concepts and tasks of multimedia data mining, algorithms, modelling, search evaluation, and applications of multimedia data mining and analytics in our daily life including web context extraction, content based image search for cloth recommendation, video feature mining, video retrieval, multimodal fusion, sentiment analysis and mining popular routes from social media, in-house multimedia mining, biometric multimedia data processing, detection of demographics and identity in speech and writing, etc.
AI4093	This course covers concepts in design and implementation of intelligent vision systems. Topics include hardware and software structure of intelligent vision systems, principles of intelligent vision systems. By exploring the current popular vision systems, such as distributed surveillance video systems, self-driving vision systems, industrial vision inspection systems, robot arm vision systems, students will learn the essential theories and practices of intelligent vision systems. This course will also conclude with current trends and challenges in design the intelligent vision systems.
AIM3153	At the core of each video game, there is an intensely creative artistic vision and engaging, interactive visual elements that continuously expand the definition of game art. In this  course, game art & animation focuses on the design of modular environments, texturing, 3D animations of characters and props that students learn to create in modelling and game development software and tools. The students acquire complex technical skills while developing their unique artistic vision through a progressive series of practical assignments while mastering the fundamentals of 3D animation, lighting, texturing, and rendering within industry-recognized game engines. In addition to learning effective technical workflows, the students will synthesize their understanding of the artistic principles at the core of 3D video games art, including 3D design, knowledge of colour, lighting, shading, anatomy, motion, perspective, and polygonal modelling.
AIM3163	The course aims to provide students with advanced knowledge and professional painting and rendering skills required for creating digital illustrations. Additionally, students will enhance their artistic knowledge in color theory, composition skills, and concept-generating skills, which are essential for creating successful illustrations.
AIM4043	The course of Final Year Project II (AIM) engages the student in supervised independent research or project work. It is the second and final stage of the completion of the final  year project.
AIM4073	This course offers students a framework for creating compelling environments in VR and AR with special considerations for artistic, design, experimental, and technical trends. The students' practical projects will reflect their new knowledge of historical, present, and emerging VR, AR, and mixed reality platforms. In this course, students will learn the process of developing their ideas and content for immersive environments and applications with the understanding of their audiences, interactivity, and affordances of current technology. Specifically, students will learn to create interactive scenes within a gaming engine using VR- and AR-appropriate 2D, 3D, audio assets, programming interactions, and multisensory responses.
BA2043	R is a language and environment for statistical computing and graphics. It is a free and open-source programming language often used as a data analysis and statistical software tool. The R environment consists of an integrated suite of software facilities designed for data manipulation, calculation, graphical display, and statistical simulation. This course will introduce R programming basics and apply them to various practical problems related to business applications. The course aims to provide students with practical tools in statistical analysis like estimation, hypothesis testing, regression, and correlation using the R programming language.
BA3013	Major areas covered in this course are consumer psychology factors influencing consumer behaviour such as demographics, personality, and lifestyles; behavioral variables like usage rates, usage occasion, loyalty; the consumer as an individual, consumers in their social and cultural settings, the consumers decision-making process and developing relevant and effective marketing strategies for consumers.
AI3123	This course provides fundamentals of digital images processing including basic image operations in both spatial and frequency domains, image restoration, morphological image processing, image segmentation and applications, human visual system and colour image processing.
AI3143	This course covers basic concepts in computer vision and pattern recognition. Topics include image sensing and camera perception, 2D image analysis such as filters, edge detection and Hough transform, pattern classification, physics-based vision, stereo and motion, and solid model recognition. It concludes with current trends and challenges in computer vision and pattern recognition. Students will learn the essential mathematical foundation and algorithms of computer vision, and the methods of implementing these algorithms. Students will also gain practical experience on these topics by using Matlab or Python.
AI4004	This course aims to enable students to demonstrate an integrated understanding of AI algorithms systems principles and techniques through solving real-life problems; gain practical experience of developing and applying enabling technologies, and acquire independent problem solving skills as well as oral and written communication skills.
AI4013	The focus of this course will be on basic semantic technologies including the principles of knowledge representation and symbolic AI. This includes information encoding via RDF triples, knowledge representation via ontologies with OWL, efficiently querying knowledge graphs via SPARQL, latent representation of knowledge in vector space, as well as knowledge graph applications in innovative AI systems such as semantic and exploratory search engines.
AI4043	This course will enable students in Artificial Intelligence Programme to develop competencies expected of professionals working in business, government or the broader community. Students will be assigned to work in a designated AI-related organization such as governmental department, public institution, non-governmental organization, academic and/or research institution, consultancy company, commercial laboratory, or any other organization/company which has implemented AI technology and management. During the intern period, students are  expected to apply their professional knowledge gained in the College into a real situation; in addition, students are expected to develop their professional working attitude, ethics, communication skill, team working tactic, and any other specific skills at the host organization in real situation.
BA3103	This course provides students with adequate knowledge on the principles and methods in statistical reasoning for making business decisions. It emphasizes on working through applications and examples of statistical methods and reasoning in the business world, while offering an accessible overview on the fundamental statistical techniques. The course contents include introduction to statistical reasoning, statistical measures of association and probability, statistical measures of distributions, inferential statistics, prescriptive analytics, and future trends, with an emphasis on their applications to sound business decisions. Students are expected to possess basic skills and knowledge in R Language before undertaking this course.
BIOL2103	This course is designed to strengthen students knowledge and practical skills in basic laboratory techniques and develop the essential skills for conducting more advanced laboratory analyses and experimental work related to biology, microbiology, and ecology. Upon completing this course, students should be able to formulate empirically testable hypotheses derived from the observations of living processes and organisms, apply scientific reasoning skills, engage in scientific arguments and discourses as well as apply appropriate techniques of data analyses and critical thinking to evaluate outcomes of experiments.
BIOL3043	This course will build on the knowledge of cell structure and function gained in General Biology and extend students' knowledge of how eukaryotic cells work at the molecular level; provide an overview of cell structure and function at the molecular level, including the flow of information from genes to proteins, and regulation of cellular processes, signalling and proliferation in eukaryotic cells; and introduce some of the major ideas and experimental approaches in cell and molecular biology.
BIOL3053	This course is designed to provide students with solid training in biotechnology laboratory techniques to solve environmental problems, such as pollutant detection, bioremediation and biofuel production. Upon finishing the course, students should have acquired a set of environmental biotechnological skills which  will enable them to conduct more advanced laboratory courses and project work related to environmental biotechnology.
BIOL4023	This course is designed to provide students with a solid training in biochemistry and biotechnology laboratory techniques; practical and essential skills necessary for conducting more advanced laboratory courses and project related to biochemistry and biotechnology; critical thinking skills to evaluate and be aware of social and ethical issues related to biotechnology.
BUS4083	This is a continuation of BUS4073 BBA Project I. Students will continue with the work that they completed in BUS4073. At the end of this course, students should be familiar with how to collect and analyze data, document all findings, interpret the results, write the implications of the findings, and offer some recommendations for future studies. The deliverable is a 30-page project report with proper citations and relevant references, encompassing all the work that they have performed in BUS4073 and BUS4083. Students in each group will also present their project to their supervisor and an internal reviewer.
BA3113	This course aims to provide students with a fundamental understanding of principles, concepts, and applications of global logistics and supply chain management in the business context. It equips students with the necessary skills and techniques for coping with logistics and supply chain challenges and problems in an ever-changing business environment. Also, this course helps students develop their abilities and knowledge in logistics and supply chain management, thereby preparing them for further studies, employment, and lifelong learning. The course contents include the roles of logistics and supply chains, shipping and transport management, inventory and warehousing management, procurement management, demand and order management, materials handling and storage, IT, logistics service providers, supply chain and logistics associations, as well as the role of sustainability in supply chain and logistics development.
BA3093	This course will show how to generate random (more precisely, pseudorandom) numbers and how these random numbers can be used to generate the values of random variables from arbitrary distributions due to uncertainty. It will also show how to use simulation to determine whether the stochastic model chosen is consistent with real-world data. Monte Carlo simulation and other computer simulation techniques in various discrete and continuous systems will be introduced. These simulation techniques will be used in combination with risk analysis. After completion of the course, students are expected to understand how to analyze a model by using a simulation, and to be able to model and simulate various practical systems in finance, insurance, and business applications. The course will also discuss and develop different models for quantifying risks, and address risk diversification using modern portfolio theories.
BA3123	This course enables students to extract information from both structured and unstructured business data and also find patterns. This course aims to introduce text mining and the different ways this type of data mining can be used to find implicit knowledge related to business text collections. It provides the guidelines for implementing text mining systems, as well as concepts and approaches. The course starts by providing detailed text preprocessing techniques and then goes on to provide concepts, the techniques, the implementation, and the evaluation of text categorization. It then goes into more advanced topics with implications in business.
CCGC3033	This course aims to provide important concepts and thoughts about the history of Sino-Foreign cultural exchanges from prehistory to the end of Qing Dynasty. The course explores the influence of Chinese culture on foreign cultures, and the ways in which these foreign cultures in their turn influenced and impacted on Chinese culture. With a focus on summarizing and reflecting critically on the historical experiences and lessons of Sino-Foreign cultural exchanges, students are expected to increase awareness of cross-cultural communication and lay a foundation of knowledge and theory for related academic research and professional work.
CCGC3043	This course provides students with an overview of popular culture and mass media, examining the connection between mass media and multiple forms of popular culture and art. The course explores the evolution of mass media, and its role in shaping popular culture throughout 21st century. In addition to the acquisition of significant theories relevant to media and communication, we will discuss a wide range of topics, including social, political, and cultural organization of mass communication and its impact on values, expectations, and life style of contemporary society. Students are expected to demonstrate understanding of the social relationship between mass media and the general population.
CCGC4013	This course is an introduction to works of famous Sinologists whose fields cover Chinese literature, philosophy, history and culture. First of all, we will introduce the main achievements of these Sinologists in different fields. Secondly, we will explore the methodologies used by them to conduct their research, through close reading of their works. Thirdly and finally, we will try to demonstrate how these Sinologists works could provide new perspectives for research on traditional Chinese culture.
CHEM2043	This course introduces students the concepts and basic principles of thermodynamics and kinetics, and a vision of matter-energy relationship in physical and chemical systems. It helps students to understand transformations at the molecular level and enables them to have a physicochemical approach to perform and analyze experiments.
CHEM2063	1. To introduce students the foundations of organic chemistry. 2. To understand the structure and reactivity of organic molecules. 3. To provide students with general knowledge of the classification, structure, nomenclature, reactions, reaction mechanisms, and synthesis of various carbon compounds. 4. To provide a suitable organic chemistry background for students to pursue other more advanced courses.
CCGC3053	This course aims to provide a detailed and inspiring introduction of Sinology in East Asia, which has a long tradition and can provide students with various perspectives of interpretation of traditional Chinese culture. First, it will demonstrate how prestigious scholars from Japan and South Korea conduct their researches on Chinese literature, Chinese thought, and Chinese culture. Secondly, it will analyse the difference between the methodologies used by scholars from Japan and South Korea and the methodologies used by Chinese scholars. Thirdly, we will encourage students to conduct their own primary research based on what they learn in this course.
CCGC3063	This course is an introduction to the Book of Songs. The aims and objectives of this course are to help students understand the Book of Songs, and enhance their pride in the cultural heritage of the motherland and cultivate their patriotic feelings. Through in-depth study of Book of Songs, students will gain the ability of academic creative thinking. This course will focus on topics such as the circulation of Book of Songs, classification of Book of Songs, the cultural spirit of Book of Songs, the art form of  the Book of Songs, as well as the historical status and influence of Book of Songs.
COMP2073	This workshop aims to have the students learn independent design, research, and coding on data analysis. It will help the students understand the concept of data analysis process. By processing data, students will learn how to collect data, clean data, process and visualize data. One or two programming languages will be introduced during the course. They could be Python, or any other new technologies.
COMM2043	This course aims to provide students with the practical knowledge and critical skills necessary to effectively consider visual design an essential and inevitable component of their work as public relations and advertising practitioners. Upon completion of the course, students should be able to identify the role of visual messages and apply related concepts to their analysis.
COMM3013	This course examines the intersection between fashion, media and culture in contemporary society that equips students with knowledge to explore how fashion is communicated to a global audience using various media. Areas in fashion communication include fashion advertising and public relations, fashion photography and visual merchandising, fashion journalism and social media. Theories of fashion and approaches in fashion communication in a globalized media-scape including an East Asia perspective will be discussed in social and professional context.
CTV3113	This course This course is an introduction to the art, craft, and science of color grading, also known as color correction, color timing or digital color- correction. The course will explore various aspects of color grading and how it can enhance and improve storytelling. The objective is for students to gain a greater understanding of the intricacies and components of photographed images and how to reshape them using color grading techniques.
DMM3013	Data-driven media management explores how data analytics enable the collection and organization of unprecedented amounts of data, and how to dissect that data to gain powerful managerial insights into the media industry. This course explains why it is important to leverage data when contemplating organizational choices and supplies the tools at the heart of media management. Course topics include analysing audience, content, and strategies with statistical software and statistical process.
ECON4133	The objective of this course is to present a treatment of the analytic tools of microeconomics that would allow students to apply these tools on their own. The course begins with the neoclassical model of consumer and firm optimization, including decisions involving time and risk, and moves on to the market coordination of these individual decisions, including discussion of whether market outcomes are desirable. All theories will be derived by calculus, which offers deeper ways to examine the same issues that one can also explore verbally and graphically. The calculus treatment will be helpful to students who have appropriate backgrounds.
DMM4033	This course aims to introduce students to the basic concepts and techniques in cost and performance accounting; to develop students ability in using relevant accounting data for management policy determination, decision making, and performance evaluation based on cost types; and to enable students to determine marginal cost and breakeven points for operational planning and control.
DS4083	1. To introduce latest development of big data analytics and concepts of mining massive datasets; 2. To emphasize big data analytical techniques which include Finding Similar ItemsMining Data Streams  Link Analysis, Frequent Itemsets  Association rules, Clustering over Massive Datasets, Advertising on the WebRecommender Systems, Mining Social-Network Graphs, Dimensionality Reduction; 3. To motivate students to apply big data analytics in addressing problems in real world applications.
DSS3003	The aims of this course are 1. To provide an overview of culture and subcultures which allow us to consider the diversity that exist within a society; 2. To become knowledgeable of the impact of ethnicity, gender, age, and social class in a digital society; 3. To explain, then reduce ethnocentrism and stereotypical thinking; 4. To explore globalization in the process of studying diverse population.
DSS3013	This course is a course in social policy, in the specific field of education policy, focusing on new challenges and problems, as well as new policy imperatives and policy solutions, regarding providing formal education in an increasingly digital society (also referred to Third Modernity in sociology). Artificial intelligence and super-digitalization are changing the world of work, and employment in general, and as a result of which the requirements for education policy, and particularly the education provided by educational institutions on the ground. This course is based on critical thinking and aims to install and develop students critical (deep and comprehensive) thinking capacities and practice-oriented skills in education policy making.
DSS3023	Following the main theme of digital social scienceto introduce social scientists to new tools provided by digital technologies and data sciencesthis course is equipping students with the basic and fundamental understanding and tools of state-of-the-art network analysis, when applying these to a wide range of fields in public and social policy making.
DSS3043	The aims of this course are 1) To provide knowledge of different types of disasters ranging from personal disasters (e.g., accidents, loss of loved ones, family violence), community incidents (e.g., outbreak of infectious diseases) to large-scale natural disasters (e.g., earthquakes and tsunamis); 2) To develop basic understanding on Emergency Management and Risk Reduction of the framework of Disaster Management Cycle from Preparedness, Response, Recovery and Mitigation for different types of major disasters including earthquakes, typhoons, river floods, forest fires and public health crisis; 3) To relate disaster management with the latest digital technology and data sciences, by introducing particularly those data bases on climate, earthquake, pandemic, transportation and human movements to predict and prepare for major natural and city critical incidents;  4) To provide knowledge and skills in effective prediction, assessment, response, recovery and risk reduction as major components of emergency management.
EBIS2023	Data is usually being described as new gold and oil. However, different from oil and gold, data must be processed and handled with care in order to generate values and insights for business. Nowadays, the explosion of social media and the Internet of Things has created a large volume of data which are available to businesses. In order to transform the tons of data into organizational gold, i.e., utilizing available data to drive substantial enhancement in business models, business processes, and customer values, businesses should possess business analytics capabilities. This course aims to help students develop a solid foundation for business analytics business to meet business needs. Notably, it will equip students with the knowledge of descriptive, predictive and prescriptive analytics to inform business decisions. This course emphasizes applying the acquired knowledge to the real world. Therefore, it offers students some hands-on experiences in carrying out business analytics tasks.
DMM4003	This course aims to provide students with an opportunity to gain real-life working experience related to the various issues and activities associated with digital media management. Under the guidance of both faculty and workplace supervisors, students will complete a work placement of several  months in a company in the digital media and communications industry or in a corresponding department in a company in another industry. Students may or may not get paid for the internship assignment.
DMM4013	The aim of the course is to cover analysis, methods and work techniques that enable students to advance digital change in existing companies. As entrepreneurs in companies, students learn to apply digital transformation principles; initiate, organize and evaluate new business models; recognize digitalization potential along the value chain; apply change management principles; and streamline work process.
DMM4023	This course aims to introduce students with the basic techniques of software development and data evaluation. In this course, students will be exposed to fundamental concepts that enable students to communicate with basic terminology, work independently with business data using low coding techniques.
DS1013	This course provides students with basic knowledge of computer-oriented problem modelling and solving methodologies, algorithm analysis, and structured programming by using Python. Students will learn about the basic concepts of structured programming and how to develop elegant Python programs. Specific topics will include structured programming methodology, data types, control structures, functions, and the mechanics of running, testing, and debugging. After learning this course, students will be able to solve problems, explore real-world programming development challenges, and create small yet practical python applications.
FIN3093	(For non-ACCT students.) This course addresses the advanced topics in financial management. It offers students an opportunity to examine the theory of corporate finance and the role in leading practitioners towards sound financial decisions.
EBIS3083	The purpose of this course is to study the overall customer decision-making process by analysing the customer's behaviours in an e-commerce environment. Web analytics is for understanding e-customer behaviour through analysing the spectrum of data from web sites, social media platforms, blogs, RSS feeds, and mobile devices in order to derive the most relevant insights from the available data. Major areas covered are the customer behaviour analysis and customer data management and customer knowledge management, customer data collection methods, web data collection tools and techniques, measurement and analysis of customer data, evaluation of online marketing campaigns which enable companies to acquire, convert, and retain customers. Learning in this course will be accomplished through lectures, case studies, in-class exercises, group project and presentations, and research papers.
ECON2083	The objective of this course is to provide students with understanding of the world economic history from the middle ages to the twentieth century. The course is designed to introduce economics graduate students to the subject matter and methodology of world economic history. The course covers three big issues the long persistence of the Malthusian economy to around 1800, the Industrial Revolution, and the subsequent Great Divergence in world incomes per capita. Students will complete the course with a strong understanding of the historiography and a broad knowledge of how the world economy has evolved.
ECON2093	This course aims to introduce students about the role of entrepreneurship as an integral part of economic development and unveiling the channels through which entrepreneurs affect economic growth, inequality, and poverty. It would further offer insights into the determinants of entrepreneurial activities, and to provide students with toolbox of economics in evaluating economic incentives, business problems, industry sustainability, innovation, and economic policies in the context of entrepreneurship. It would cover both salient theoretical and problem-based approaches that have been applied in the economic understanding of entrepreneurship.
ECON2113	This course aims to introduce the basic concepts & principles of macroeconomics for financial mathematics students, so as for students to acquire a basic understanding of how a market economy functions, to appreciate the critical macroeconomic issues facing the society, and to understand to a certain degree the going debate on these issues. This is a necessary preparation not only for many careers in private and public sectors but also for responsible citizenship in modern society.
